Valor -> Archivo -> Ruta
asg_modif_cabecera -> asg_modif_cabecera.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_modif_cabecera.sql
asg_rangos_central_centr -> asg_modif_cabecera.sql -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.IRConmutacion\Modificaciones Vantive Integracion\asg_modif_cabecera.sql
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Oferta\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Oportunidades\Web.config
OS_cs_fichero_puentes -> TareasAuto.aspx.cs -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Ordenes\Pruebas\TareasAuto.aspx.cs
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Pedido\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.Siadcportal\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.TC.CatalogoFormulas\Web.config
cs_line_test -> Web.config -> D:\tcnet\Tcnet.Ap\Tcnet.Ap.TC.InstanciaFormula\Web.config
asgf4_estado_agrup -> AgrupacionEquiposDAT.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.AgrupEquipos\AgrupacionEquiposDAT.cs
asg_configurado_disponible -> AgrupacionEquiposSL.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.AgrupEquipos\AgrupacionEquiposSL.cs
asg_configurado_disponible3 -> AgrupacionEquiposSL.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.AgrupEquipos\AgrupacionEquiposSL.cs
asgf4_cambio_titular -> AgrupacionEquiposSL.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.AgrupEquipos\AgrupacionEquiposSL.cs
asg_inser_centralita_agrup -> Centralita.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.Centralitas\Centralita.cs
asg_modif_cabecera -> Centralita.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.Centralitas\Centralita.cs
asgf2_asociar_dev -> Centralita.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.Centralitas\Centralita.cs
asgf2_asociar_dev_modif_lineas -> Centralita.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.Centralitas\Centralita.cs
asg_cambio -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\GruposSalto\GrupoSaltoNoAnalogico\Constantes.cs
asg_cambios_rangos_central -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\GruposSalto\GrupoSaltoNoAnalogico\Constantes.cs
asg_rangos_central_centr -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\GruposSalto\GrupoSaltoNoAnalogico\Constantes.cs
asg_rangos_central_centr -> GrupoSaltoNoAnalogico.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\GruposSalto\GrupoSaltoNoAnalogico\GrupoSaltoNoAnalogico.cs
asg_cambio -> Device.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\Device\Device.cs
asg_cambio_asig -> Device.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\Device\Device.cs
asg_cambio_asig_ld -> Device.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\Device\Device.cs
asg_cambio -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\Constantes.cs
asg_cambio_asig -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\Constantes.cs
asg_cambio_asig_ld -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\Constantes.cs
asg_intercambia_lineas_agrup -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\Constantes.cs
asg_cambio -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\V5.cs
asg_cambio_asig -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\V5.cs
asg_cambio_asig_ld -> V5.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.IRConmutacion\RecursosServicio\V5\V5.cs
por_nrn -> ConstantesPedidosNeba.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.NEON\NEBA\Pedidos\ConstantesPedidosNeba.cs
av_prod_ot_ad_ubicacion_caja -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.OT\Constantes.cs
por_nrn -> MensajesNegocio.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.PorMensajes\MensajesNegocio.cs
asg_actualiza_datos_alta -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
asg_actualiza_datos_alta_ADSL -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
asg_bajas_net -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
asg_configurado_disponible -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
asg_configurado_disponible3 -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
asg_reservado_disponible -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
cs_numeros_gold -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
cs_val_Gestor_Numeracion -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\Constantes.cs
asg_actualiza_datos_alta -> ProdInstalado.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\ProdInstalado.cs
cs_numeros_gold -> ProdInstalado.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstalado\ProdInstalado.cs
cs_line_test -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstLlamadasSSH\Constantes.cs
provision_itelazpi -> Constantes.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstLlamadasSSH\Constantes.cs
provision_itelazpi -> Ssh.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.ProdInstLlamadasSSH\Ssh.cs
asg_alta_num_agrup_manual -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_borra_central_agrup -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_cambio -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_cambio_numeros -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_cambios_rangos_central -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_configurado_disponible -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
asg_configurado_disponible3 -> Rango.cs -> D:\tcnet\Tcnet.Ng\Tcnet.Ng.RangoNumeracion\Rango.cs
